 to your browser, para o seu navegador,
"""Company History""","""História da Empresa""",
"""Parent"" signifies the parent table in which this row must be added","""Principal"" significa a a tabela principal na qual deve ser acrescentada esta linha",
"""Team Members"" or ""Management""","""Membros da Equipa"" ou ""Gestão""",
"""amended_from"" field must be present to do an amendment.",O campo &quot;alterado_de&quot; deve estar presente para fazer uma alteração.,
"""{0}"" is not a valid Google Sheets URL",&quot;{0}&quot; não é um URL válido do Planilhas Google,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'In Global Search' not allowed for type {0} in row {1},&#39;Na Pesquisa Global&#39; não é permitido para o tipo {0} na linha {1},
'In List View' not allowed for type {0} in row {1},'Visualização em Lista' não pode ser utilizado para o tipo {0} na linha {1},
'Recipients' not specified,'Destinatários' não especificado,
'{0}' not allowed for type {1} in row {2},&#39;{0}&#39; não permitido para o tipo {1} na linha {2},
(Mandatory),(Obrigatório),
** Failed: {0} to {1}: {2},** Falha: {0} para {1}: {2},
+ Add / Remove Fields,+ Adicionar / Remover Campos,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Rascunho; 1 - Enviado; 2 - Cancelado,
0 is highest,0 é maior,
1 Google Calendar Event synced.,1 Evento do Google Agenda sincronizado.,
1 Report,1 relatório,
1 comment,1 comentário,
1 hour ago,1 hora atrás,
1 minute ago,1 minuto atrás,
1 month ago,1 mês atrás,
1 record will be exported,1 registro será exportado,
1 week ago,1 semana atrás,
1 year ago,1 ano atrás,
5 Records,5 registros,
; not allowed in condition,; não permitido na condição,
A featured post must have a cover image,Uma postagem em destaque deve ter uma imagem de capa,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Uma lista de recursos que o aplicativo cliente terá acesso a depois que o usuário permita. <br> por exemplo, do projeto",
A new account has been created for you at {0},Uma nova conta foi criada para você em {0},
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Um {0} {1} recorrente foi criado para você através da Repetição automática {2}.,
A symbol for this currency. For e.g. $,Um símbolo para esta moeda. Por exemplo: R$,
